class;text
0;We will swear loyalty to the crown.
0;The White House will be making an announcement around noon.
0;If we don’t get these reports in today, the suits will be after us.
0;My dear, you have all of my heart.
0;That fancy fish dish you made was the best of the evening.
0;After the protests, maybe Washington will listen to the voters.
0;My brother was just released from the big house.
0;Silicon Valley is constantly pushing the boundaries in innovation.
0;It seems like people will do whatever Hollywood says is cool.
0;Tell me about your first date. I’m all ears!
0;Your older neighbor is quite the silver fox.
0;Can you give me a hand carrying this box up the stairs?
0;I couldn’t understand them, they spoke in their mother tongue.
0;Look lively, the top brass are coming for an audit today.
0;The team needs some new blood if it's going to win next season.
0;Friends, Romans, countrymen, lend me your ears
0;My life is a train wreck
0;I'm mighty glad Georgia waited till after Christmas before it secedes or it would have ruined the Christmas parties.
0;The pen is mightier than the sword
0;The House was called to order
0;He writes with a fine hand
0;Cuba has passed a bill.
0;In a corner, a cluster of lab coats made lunch plans.
0;Fear gives wings.
0;Britain’s current account deﬁcit.
0;America did once try to ban alcohol.
0;England lost in the semi-ﬁnal
0;Sun acquired that part of Eastman-KodakCos Unix subsidary
0;Intel’s Indeo video compression hardware
1;My life is a horrible mess
1;I'm mighty glad Georgia's government waited till after Christmas before it secedes or it would have ruined the Christmas parties.
1;Can you help me carrying this box up the stairs?
1;Tell me about your first date. I’m listening!
1;My brother was just released from the prison.
1;We will swear loyalty to the king.
1;If we don’t get these reports in today, the investors will be after us.
1;The the written word is mightier than the military aggression 
1;Results have been proven
1;The results are uncontestable
1;No further problems were found in their systems
1;Everybody loves revenue growth
1;I think this is the beginning of the discussion.
1;I don’t think this is the end of the story
1;We’re afraid that could have been what happened here
1;It does seem to be less symptomatic
1;It is preferentially appearing to be more transmissible
1;The future of food shopping might be plastic-free
1;The hummingbird's wings blurred while it eagerly sipped the sugar water from the feeder.
1;Even though he thought the world was flat he didn’t see the irony of wanting to travel around the world.
1;It's much more difficult to play tennis with a bowling ball than it is to bowl with a tennis ball.
1;Douglas figured the best way to succeed was to do the opposite of what he'd been doing all his life.
1;People who insist on picking their teeth with their elbows are so annoying!
1;She found it strange that people use their cellphones to actually talk to one another.
1;It was getting dark, and we weren’t there yet.
